SENTS_0,SENTS_1,UNK_SENTS_0,UNK_SENTS_1,has_UNK_0,has_UNK_1,sent_0_word_0,sent_0_word_0_ent_avg,sent_0_word_0_red_avg,sent_0_word_0_surp_avg,sent_0_word_0_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_0_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_0_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_1,sent_0_word_1_ent_avg,sent_0_word_1_red_avg,sent_0_word_1_surp_avg,sent_0_word_1_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_1_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_1_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_2,sent_0_word_2_ent_avg,sent_0_word_2_red_avg,sent_0_word_2_surp_avg,sent_0_word_2_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_2_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_2_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_3,sent_0_word_3_ent_avg,sent_0_word_3_red_avg,sent_0_word_3_surp_avg,sent_0_word_3_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_3_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_3_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_4,sent_0_word_4_ent_avg,sent_0_word_4_red_avg,sent_0_word_4_surp_avg,sent_0_word_4_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_4_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_4_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_5,sent_0_word_5_ent_avg,sent_0_word_5_red_avg,sent_0_word_5_surp_avg,sent_0_word_5_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_5_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_5_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_6,sent_0_word_6_ent_avg,sent_0_word_6_red_avg,sent_0_word_6_surp_avg,sent_0_word_6_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_6_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_6_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_7,sent_0_word_7_ent_avg,sent_0_word_7_red_avg,sent_0_word_7_surp_avg,sent_0_word_7_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_7_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_7_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_8,sent_0_word_8_ent_avg,sent_0_word_8_red_avg,sent_0_word_8_surp_avg,sent_0_word_8_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_8_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_8_surp_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_9,sent_0_word_9_ent_avg,sent_0_word_9_red_avg,sent_0_word_9_surp_avg,sent_0_word_9_ent_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_9_red_LSTM_400_80m_a_10-d0.2.pt,sent_0_word_9_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_0,sent_1_word_0_ent_avg,sent_1_word_0_red_avg,sent_1_word_0_surp_avg,sent_1_word_0_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_0_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_0_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_1,sent_1_word_1_ent_avg,sent_1_word_1_red_avg,sent_1_word_1_surp_avg,sent_1_word_1_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_1_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_1_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_2,sent_1_word_2_ent_avg,sent_1_word_2_red_avg,sent_1_word_2_surp_avg,sent_1_word_2_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_2_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_2_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_3,sent_1_word_3_ent_avg,sent_1_word_3_red_avg,sent_1_word_3_surp_avg,sent_1_word_3_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_3_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_3_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_4,sent_1_word_4_ent_avg,sent_1_word_4_red_avg,sent_1_word_4_surp_avg,sent_1_word_4_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_4_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_4_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_5,sent_1_word_5_ent_avg,sent_1_word_5_red_avg,sent_1_word_5_surp_avg,sent_1_word_5_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_5_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_5_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_6,sent_1_word_6_ent_avg,sent_1_word_6_red_avg,sent_1_word_6_surp_avg,sent_1_word_6_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_6_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_6_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_7,sent_1_word_7_ent_avg,sent_1_word_7_red_avg,sent_1_word_7_surp_avg,sent_1_word_7_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_7_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_7_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_8,sent_1_word_8_ent_avg,sent_1_word_8_red_avg,sent_1_word_8_surp_avg,sent_1_word_8_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_8_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_8_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_9,sent_1_word_9_ent_avg,sent_1_word_9_red_avg,sent_1_word_9_surp_avg,sent_1_word_9_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_9_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_9_surp_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_10,sent_1_word_10_ent_avg,sent_1_word_10_red_avg,sent_1_word_10_surp_avg,sent_1_word_10_ent_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_10_red_LSTM_400_80m_a_10-d0.2.pt,sent_1_word_10_surp_LSTM_400_80m_a_10-d0.2.pt
the man will criticize the brochure .,"and then , he will read the brochure .",the man will criticize the brochure .,"and then , he will read the brochure .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,man,6.676374912261963,2.560147762298584,9.66528034210205,6.676374912261963,2.560147762298584,9.66528034210205,will,7.2326483726501465,0.0,8.391946792602539,7.2326483726501465,0.0,8.391946792602539,criticize,5.020513534545898,2.212134838104248,15.215078353881836,5.020513534545898,2.212134838104248,15.215078353881836,the,10.207359313964844,0.0,1.4668684005737305,10.207359313964844,0.0,1.4668684005737305,brochure,4.678409099578857,5.528950214385986,20.437585830688477,4.678409099578857,5.528950214385986,20.437585830688477,.,0.0,4.678409099578857,2.0962073802948,0.0,4.678409099578857,2.0962073802948,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,read,5.774486064910889,1.5887627601623535,9.663834571838379,5.774486064910889,1.5887627601623535,9.663834571838379,the,8.98928165435791,0.0,2.0788121223449707,8.98928165435791,0.0,2.0788121223449707,brochure,5.456034183502197,3.533247470855713,14.78783893585205,5.456034183502197,3.533247470855713,14.78783893585205,.,0.0,5.456034183502197,2.741119623184204,0.0,5.456034183502197,2.741119623184204,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the man will fold the brochure .,"and then , he will read the brochure .",the man will fold the brochure .,"and then , he will read the brochure .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,man,6.676374912261963,2.560147762298584,9.66528034210205,6.676374912261963,2.560147762298584,9.66528034210205,will,7.2326483726501465,0.0,8.391946792602539,7.2326483726501465,0.0,8.391946792602539,fold,6.013919830322266,1.2187285423278809,14.934412002563477,6.013919830322266,1.2187285423278809,14.934412002563477,the,10.085309982299805,0.0,3.3627774715423584,10.085309982299805,0.0,3.3627774715423584,brochure,5.812445163726807,4.272864818572998,19.545242309570312,5.812445163726807,4.272864818572998,19.545242309570312,.,0.0,5.812445163726807,3.371882677078247,0.0,5.812445163726807,3.371882677078247,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,read,5.774486064910889,1.5887627601623535,9.663834571838379,5.774486064910889,1.5887627601623535,9.663834571838379,the,8.98928165435791,0.0,2.0788121223449707,8.98928165435791,0.0,2.0788121223449707,brochure,5.456034183502197,3.533247470855713,14.78783893585205,5.456034183502197,3.533247470855713,14.78783893585205,.,0.0,5.456034183502197,2.741119623184204,0.0,5.456034183502197,2.741119623184204,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the man will kick the gate .,"and then , he will lean on the gate .",the man will kick the gate .,"and then , he will lean on the gate .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,man,6.676374912261963,2.560147762298584,9.66528034210205,6.676374912261963,2.560147762298584,9.66528034210205,will,7.2326483726501465,0.0,8.391946792602539,7.2326483726501465,0.0,8.391946792602539,kick,6.023941993713379,1.2087063789367676,12.594856262207031,6.023941993713379,1.2087063789367676,12.594856262207031,the,9.969411849975586,0.0,3.0584616661071777,9.969411849975586,0.0,3.0584616661071777,gate,6.087224960327148,3.8821868896484375,10.368494033813477,6.087224960327148,3.8821868896484375,10.368494033813477,.,0.0,6.087224960327148,3.349241018295288,0.0,6.087224960327148,3.349241018295288,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,lean,5.71839714050293,1.6448516845703125,15.352986335754395,5.71839714050293,1.6448516845703125,15.352986335754395,on,5.070526123046875,0.6478710174560547,4.347960948944092,5.070526123046875,0.6478710174560547,4.347960948944092,the,10.056285858154297,0.0,1.3567901849746704,10.056285858154297,0.0,1.3567901849746704,gate,5.593864917755127,4.46242094039917,11.903667449951172,5.593864917755127,4.46242094039917,11.903667449951172,.,0.0,5.593864917755127,2.6479384899139404,0.0,5.593864917755127,2.6479384899139404,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the man will shut the gate .,"and then , he will lean on the gate .",the man will shut the gate .,"and then , he will lean on the gate .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,man,6.676374912261963,2.560147762298584,9.66528034210205,6.676374912261963,2.560147762298584,9.66528034210205,will,7.2326483726501465,0.0,8.391946792602539,7.2326483726501465,0.0,8.391946792602539,shut,3.0771396160125732,4.155508756637573,12.917336463928223,3.0771396160125732,4.155508756637573,12.917336463928223,the,9.515082359313965,0.0,3.767738103866577,9.515082359313965,0.0,3.767738103866577,gate,6.10338830947876,3.411694049835205,8.774004936218262,6.10338830947876,3.411694049835205,8.774004936218262,.,0.0,6.10338830947876,3.791724443435669,0.0,6.10338830947876,3.791724443435669,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,lean,5.71839714050293,1.6448516845703125,15.352986335754395,5.71839714050293,1.6448516845703125,15.352986335754395,on,5.070526123046875,0.6478710174560547,4.347960948944092,5.070526123046875,0.6478710174560547,4.347960948944092,the,10.056285858154297,0.0,1.3567901849746704,10.056285858154297,0.0,1.3567901849746704,gate,5.593864917755127,4.46242094039917,11.903667449951172,5.593864917755127,4.46242094039917,11.903667449951172,.,0.0,5.593864917755127,2.6479384899139404,0.0,5.593864917755127,2.6479384899139404,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the boy will inspect the broken zipper .,"and then , he will complain about the zipper .",the boy will inspect the broken zipper .,"and then , he will complain about the zipper .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,boy,6.532742977142334,2.703779697418213,10.822345733642578,6.532742977142334,2.703779697418213,10.822345733642578,will,7.285580635070801,0.0,8.99800968170166,7.285580635070801,0.0,8.99800968170166,inspect,4.91767692565918,2.367903709411621,13.190435409545898,4.91767692565918,2.367903709411621,13.190435409545898,the,10.322032928466797,0.0,1.3493387699127197,10.322032928466797,0.0,1.3493387699127197,broken,9.101744651794434,1.2202882766723633,11.713336944580078,9.101744651794434,1.2202882766723633,11.713336944580078,zipper,4.894308567047119,4.2074360847473145,16.555171966552734,4.894308567047119,4.2074360847473145,16.555171966552734,.,0.0,4.894308567047119,2.311852216720581,0.0,4.894308567047119,2.311852216720581,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,complain,4.428051471710205,2.935197353363037,12.307756423950195,4.428051471710205,2.935197353363037,12.307756423950195,about,4.612107753753662,0.0,1.8158255815505981,4.612107753753662,0.0,1.8158255815505981,the,10.371174812316895,0.0,1.195859432220459,10.371174812316895,0.0,1.195859432220459,zipper,5.489683628082275,4.881491184234619,17.211679458618164,5.489683628082275,4.881491184234619,17.211679458618164,.,0.0,5.489683628082275,2.4171462059020996,0.0,5.489683628082275,2.4171462059020996,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the boy will fix the broken zipper .,"and then , he will complain about the zipper .",the boy will fix the broken zipper .,"and then , he will complain about the zipper .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,boy,6.532742977142334,2.703779697418213,10.822345733642578,6.532742977142334,2.703779697418213,10.822345733642578,will,7.285580635070801,0.0,8.99800968170166,7.285580635070801,0.0,8.99800968170166,fix,4.246446132659912,3.0391345024108887,13.397188186645508,4.246446132659912,3.0391345024108887,13.397188186645508,the,10.487688064575195,0.0,1.128326416015625,10.487688064575195,0.0,1.128326416015625,broken,9.363259315490723,1.1244287490844727,10.746376991271973,9.363259315490723,1.1244287490844727,10.746376991271973,zipper,5.2376790046691895,4.125580310821533,14.862668991088867,5.2376790046691895,4.125580310821533,14.862668991088867,.,0.0,5.2376790046691895,2.5432493686676025,0.0,5.2376790046691895,2.5432493686676025,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,complain,4.428051471710205,2.935197353363037,12.307756423950195,4.428051471710205,2.935197353363037,12.307756423950195,about,4.612107753753662,0.0,1.8158255815505981,4.612107753753662,0.0,1.8158255815505981,the,10.371174812316895,0.0,1.195859432220459,10.371174812316895,0.0,1.195859432220459,zipper,5.489683628082275,4.881491184234619,17.211679458618164,5.489683628082275,4.881491184234619,17.211679458618164,.,0.0,5.489683628082275,2.4171462059020996,0.0,5.489683628082275,2.4171462059020996,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the child will tap the ketchup bottle .,"and then , he will comment on the ketchup bottle .",the child will tap the ketchup bottle .,"and then , he will comment on the ketchup bottle .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,child,6.248201847076416,2.988320827484131,11.180089950561523,6.248201847076416,2.988320827484131,11.180089950561523,will,7.13445520401001,0.0,8.030097961425781,7.13445520401001,0.0,8.030097961425781,tap,5.640303611755371,1.4941515922546387,15.497008323669434,5.640303611755371,1.4941515922546387,15.497008323669434,the,10.071085929870605,0.0,3.666419506072998,10.071085929870605,0.0,3.666419506072998,ketchup,5.884034156799316,4.187051773071289,19.993677139282227,5.884034156799316,4.187051773071289,19.993677139282227,bottle,5.6107659339904785,0.2732682228088379,11.871363639831543,5.6107659339904785,0.2732682228088379,11.871363639831543,.,0.0,5.6107659339904785,3.519813060760498,0.0,5.6107659339904785,3.519813060760498,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,comment,3.585540294647217,3.7777085304260254,12.007170677185059,3.585540294647217,3.7777085304260254,12.007170677185059,on,4.328714847564697,0.0,1.0602855682373047,4.328714847564697,0.0,1.0602855682373047,the,10.325282096862793,0.0,1.0924195051193237,10.325282096862793,0.0,1.0924195051193237,ketchup,6.937209606170654,3.3880724906921387,22.544658660888672,6.937209606170654,3.3880724906921387,22.544658660888672,bottle,5.950448989868164,0.9867606163024902,12.599664688110352,5.950448989868164,0.9867606163024902,12.599664688110352,.,0.0,5.950448989868164,2.51395320892334,0.0,5.950448989868164,2.51395320892334,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the child will open the ketchup bottle .,"and then , he will comment on the ketchup bottle .",the child will open the ketchup bottle .,"and then , he will comment on the ketchup bottle .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,child,6.248201847076416,2.988320827484131,11.180089950561523,6.248201847076416,2.988320827484131,11.180089950561523,will,7.13445520401001,0.0,8.030097961425781,7.13445520401001,0.0,8.030097961425781,open,5.764301776885986,1.3701534271240234,10.205512046813965,5.764301776885986,1.3701534271240234,10.205512046813965,the,9.401835441589355,0.0,2.3744845390319824,9.401835441589355,0.0,2.3744845390319824,ketchup,6.440964221954346,2.9608712196350098,21.8830623626709,6.440964221954346,2.9608712196350098,21.8830623626709,bottle,5.491941452026367,0.9490227699279785,11.187398910522461,5.491941452026367,0.9490227699279785,11.187398910522461,.,0.0,5.491941452026367,2.5812106132507324,0.0,5.491941452026367,2.5812106132507324,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,he,8.033828735351562,0.0,6.625704288482666,8.033828735351562,0.0,6.625704288482666,will,7.363248825073242,0.6705799102783203,8.968694686889648,7.363248825073242,0.6705799102783203,8.968694686889648,comment,3.585540294647217,3.7777085304260254,12.007170677185059,3.585540294647217,3.7777085304260254,12.007170677185059,on,4.328714847564697,0.0,1.0602855682373047,4.328714847564697,0.0,1.0602855682373047,the,10.325282096862793,0.0,1.0924195051193237,10.325282096862793,0.0,1.0924195051193237,ketchup,6.937209606170654,3.3880724906921387,22.544658660888672,6.937209606170654,3.3880724906921387,22.544658660888672,bottle,5.950448989868164,0.9867606163024902,12.599664688110352,5.950448989868164,0.9867606163024902,12.599664688110352,.,0.0,5.950448989868164,2.51395320892334,0.0,5.950448989868164,2.51395320892334,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the mother will select the egg .,"and then , she will talk about the egg .",the mother will select the egg .,"and then , she will talk about the egg .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,mother,6.156735897064209,3.079786777496338,11.346649169921875,6.156735897064209,3.079786777496338,11.346649169921875,will,7.306233882904053,0.0,8.644047737121582,7.306233882904053,0.0,8.644047737121582,select,5.731674671173096,1.574559211730957,11.667319297790527,5.731674671173096,1.574559211730957,11.667319297790527,the,9.557781219482422,0.0,2.505460500717163,9.557781219482422,0.0,2.505460500717163,egg,6.379764556884766,3.1780166625976562,13.143254280090332,6.379764556884766,3.1780166625976562,13.143254280090332,.,0.0,6.379764556884766,3.7144062519073486,0.0,6.379764556884766,3.7144062519073486,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,she,7.937714576721191,0.0,9.088151931762695,7.937714576721191,0.0,9.088151931762695,will,7.361246585845947,0.5764679908752441,8.729571342468262,7.361246585845947,0.5764679908752441,8.729571342468262,talk,3.6963815689086914,3.664865016937256,11.372937202453613,3.6963815689086914,3.664865016937256,11.372937202453613,about,5.5718913078308105,0.0,1.7805166244506836,5.5718913078308105,0.0,1.7805166244506836,the,10.362005233764648,0.0,1.4851219654083252,10.362005233764648,0.0,1.4851219654083252,egg,6.43787956237793,3.9241256713867188,15.357956886291504,6.43787956237793,3.9241256713867188,15.357956886291504,.,0.0,6.43787956237793,3.2037065029144287,0.0,6.43787956237793,3.2037065029144287,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
the mother will crack the egg .,"and then , she will talk about the egg .",the mother will crack the egg .,"and then , she will talk about the egg .",0,0,the,9.236522674560547,0.0,3.6588172912597656,9.236522674560547,0,3.6588172912597656,mother,6.156735897064209,3.079786777496338,11.346649169921875,6.156735897064209,3.079786777496338,11.346649169921875,will,7.306233882904053,0.0,8.644047737121582,7.306233882904053,0.0,8.644047737121582,crack,5.657276153564453,1.6489577293395996,14.536172866821289,5.657276153564453,1.6489577293395996,14.536172866821289,the,10.183226585388184,0.0,2.7471890449523926,10.183226585388184,0.0,2.7471890449523926,egg,6.019335746765137,4.163890838623047,9.54427719116211,6.019335746765137,4.163890838623047,9.54427719116211,.,0.0,6.019335746765137,3.3956685066223145,0.0,6.019335746765137,3.3956685066223145,and,7.739471912384033,0.0,5.5206217765808105,7.739471912384033,0.0,5.5206217765808105,then,8.653621673583984,0.0,6.156722068786621,8.653621673583984,0.0,6.156722068786621,",",6.51738166809082,2.136240005493164,4.969815731048584,6.51738166809082,2.136240005493164,4.969815731048584,she,7.937714576721191,0.0,9.088151931762695,7.937714576721191,0.0,9.088151931762695,will,7.361246585845947,0.5764679908752441,8.729571342468262,7.361246585845947,0.5764679908752441,8.729571342468262,talk,3.6963815689086914,3.664865016937256,11.372937202453613,3.6963815689086914,3.664865016937256,11.372937202453613,about,5.5718913078308105,0.0,1.7805166244506836,5.5718913078308105,0.0,1.7805166244506836,the,10.362005233764648,0.0,1.4851219654083252,10.362005233764648,0.0,1.4851219654083252,egg,6.43787956237793,3.9241256713867188,15.357956886291504,6.43787956237793,3.9241256713867188,15.357956886291504,.,0.0,6.43787956237793,3.2037065029144287,0.0,6.43787956237793,3.2037065029144287,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,NULL,-1.0,-1.0,-1.0,-1,-1.0,-1.0
