SENT1,UNK_SENT1,hasUNK1,VERB1_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,VERB1_ENTROPY_AVG,VERB1_REDUCTION_LSTM_400_80m_a_10-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_b_11-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_c_12-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_d_13-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_e_14-d0.2.pt,VERB1_REDUCTION_AVG,VERB1_SURP_LSTM_400_80m_a_10-d0.2.pt,VERB1_SURP_LSTM_400_80m_b_11-d0.2.pt,VERB1_SURP_LSTM_400_80m_c_12-d0.2.pt,VERB1_SURP_LSTM_400_80m_d_13-d0.2.pt,VERB1_SURP_LSTM_400_80m_e_14-d0.2.pt,VERB1_SURP_AVG,NOUN1_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,NOUN1_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,NOUN1_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,NOUN1_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,NOUN1_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,NOUN1_ENTROPY_AVG,NOUN1_SURP_LSTM_400_80m_a_10-d0.2.pt,NOUN1_SURP_LSTM_400_80m_b_11-d0.2.pt,NOUN1_SURP_LSTM_400_80m_c_12-d0.2.pt,NOUN1_SURP_LSTM_400_80m_d_13-d0.2.pt,NOUN1_SURP_LSTM_400_80m_e_14-d0.2.pt,NOUN1_SURP_AVG,SENT2,UNK_SENT2,hasUNK2,VERB2_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,VERB2_ENTROPY_AVG,VERB2_REDUCTION_LSTM_400_80m_a_10-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_b_11-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_c_12-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_d_13-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_e_14-d0.2.pt,VERB2_REDUCTION_AVG,VERB2_SURP_LSTM_400_80m_a_10-d0.2.pt,VERB2_SURP_LSTM_400_80m_b_11-d0.2.pt,VERB2_SURP_LSTM_400_80m_c_12-d0.2.pt,VERB2_SURP_LSTM_400_80m_d_13-d0.2.pt,VERB2_SURP_LSTM_400_80m_e_14-d0.2.pt,VERB2_SURP_AVG,NOUN2_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,NOUN2_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,NOUN2_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,NOUN2_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,NOUN2_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,NOUN2_ENTROPY_AVG,NOUN2_SURP_LSTM_400_80m_a_10-d0.2.pt,NOUN2_SURP_LSTM_400_80m_b_11-d0.2.pt,NOUN2_SURP_LSTM_400_80m_c_12-d0.2.pt,NOUN2_SURP_LSTM_400_80m_d_13-d0.2.pt,NOUN2_SURP_LSTM_400_80m_e_14-d0.2.pt,NOUN2_SURP_AVG
the man criticized the brochure .,the man criticized the brochure .,0,5.190007209777832,4.642806529998779,4.4931111335754395,4.642001152038574,4.909104347229004,4.775406074523926,1.4863662719726562,2.0951271057128906,2.108546257019043,2.290408134460449,2.356961250305176,2.067481803894043,15.872852325439453,13.85897159576416,13.898256301879883,14.95081615447998,14.745783805847168,14.66533603668213,5.04260778427124,4.877609729766846,4.767856597900391,4.70924186706543,5.909428596496582,5.061348915100098,19.322431564331055,19.114730834960938,18.575977325439453,19.292987823486328,18.12664031982422,18.8865535736084,"and then , he read another brochure .","and then , he read another brochure .",0,5.114165782928467,5.6322221755981445,5.181548595428467,5.378023147583008,5.437419414520264,5.34867582321167,2.6444435119628906,1.9408378601074219,2.354437828063965,2.1965274810791016,2.261918544769287,2.279633045196533,9.614129066467285,9.43140983581543,9.106345176696777,9.085867881774902,8.700207710266113,9.187591934204102,5.114118576049805,5.371957778930664,5.691628456115723,4.931773662567139,5.288103103637695,5.279516315460205,12.337031364440918,12.209945678710938,12.377448081970215,13.091732025146484,11.066095352172852,12.216450500488282
the man folded the brochure .,the man folded the brochure .,0,5.45468807220459,5.370265007019043,6.069522857666016,5.838347434997559,5.145583152770996,5.57568130493164,1.2216854095458984,1.367668628692627,0.5321345329284668,1.0940618515014648,2.1204824447631836,1.267206573486328,19.327651977539062,18.59188461303711,17.142032623291016,18.59234046936035,16.099172592163086,17.950616455078126,6.12648344039917,5.644380569458008,5.796606540679932,5.429959297180176,5.551397323608398,5.709765434265137,20.84136962890625,22.049362182617188,19.80402946472168,19.519750595092773,19.14848518371582,20.27259941101074,"and then , he read another brochure .","and then , he read another brochure .",0,5.26320743560791,5.691507816314697,5.360158443450928,5.490414619445801,5.50861120223999,5.462779903411866,2.570234775543213,1.9476304054260254,2.61277437210083,2.28456449508667,2.129271984100342,2.308895206451416,9.42560863494873,9.271042823791504,9.05542278289795,8.470876693725586,8.692136764526367,8.983017539978027,5.074871063232422,5.331728935241699,5.533386707305908,4.844537734985352,5.239139080047607,5.2047327041625975,12.314291000366211,12.693880081176758,12.536314964294434,12.571891784667969,11.399270057678223,12.303129577636719
the man kicked the gate .,the man kicked the gate .,0,5.902793884277344,5.7807536125183105,5.3212714195251465,5.816651344299316,5.252047538757324,5.614703559875489,0.7735795974731445,0.9571800231933594,1.280385971069336,1.115757942199707,2.0140180587768555,1.2281843185424806,16.667978286743164,14.158416748046875,15.382713317871094,14.101702690124512,13.390100479125977,14.740182304382325,6.517491817474365,6.271162509918213,6.773015975952148,6.183470249176025,6.266758441925049,6.40237979888916,10.735796928405762,12.514967918395996,9.908584594726562,10.22665023803711,11.01872444152832,10.88094482421875,"and then , he leaned on another gate .","and then , he leaned on another gate .",0,5.040797710418701,5.581570148468018,5.25673246383667,5.543529987335205,4.9460978507995605,5.2737456321716305,0.5736851692199707,-0.15896987915039062,-0.6854186058044434,0.5617046356201172,0.14282464981079102,0.08676519393920898,2.212306022644043,3.2194340229034424,1.6992576122283936,2.8622496128082275,2.986844062805176,2.5960182666778566,5.899120330810547,5.338014125823975,5.497940540313721,5.00581693649292,5.24083948135376,5.3963462829589846,12.872175216674805,12.646615982055664,11.78055191040039,12.670589447021484,12.870152473449707,12.56801700592041
the man shut the gate .,the man shut the gate .,0,3.4270145893096924,3.374502420425415,2.997995376586914,4.3612823486328125,2.1979939937591553,3.2717577457427978,3.249358892440796,3.363431215286255,3.6036620140075684,2.571126937866211,5.068071603775024,3.571130132675171,16.969558715820312,16.816755294799805,17.4755802154541,17.516796112060547,16.687685012817383,17.09327507019043,6.701457500457764,6.650150775909424,6.7005934715271,5.979741096496582,6.215287685394287,6.449446105957032,9.29040813446045,10.13747501373291,8.949559211730957,9.559799194335938,9.199005126953125,9.427249336242676,"and then , he leaned on another gate .","and then , he leaned on another gate .",0,5.083898544311523,5.603809356689453,5.317541122436523,5.554304599761963,4.999939918518066,5.311898708343506,0.5417499542236328,-0.16994047164916992,-0.7593879699707031,0.5528092384338379,0.05948638916015625,0.04494342803955078,2.27227783203125,3.2340450286865234,1.647973895072937,2.8961308002471924,2.974477529525757,2.604981017112732,5.911744117736816,5.438172817230225,5.495207786560059,5.0450544357299805,5.278662204742432,5.433768272399902,12.891797065734863,12.780056953430176,11.604416847229004,12.775153160095215,12.932381629943848,12.596761131286621
the boy inspected the broken zipper .,the boy inspected the broken zipper .,0,4.328582286834717,3.9407546520233154,4.2215399742126465,4.506656169891357,4.252065181732178,4.249919652938843,2.2041592597961426,3.011504888534546,2.6095051765441895,2.145167827606201,2.982056140899658,2.5904786586761475,19.374221801757812,18.349863052368164,18.98964500427246,19.782909393310547,17.701887130737305,18.83970527648926,5.297907829284668,5.5343918800354,5.494293212890625,5.3401336669921875,6.913925647735596,5.7161304473876955,15.989740371704102,18.128211975097656,17.945402145385742,17.515705108642578,17.341678619384766,17.38414764404297,"and then , he complained about another zipper .","and then , he complained about another zipper .",0,4.689230918884277,4.662981033325195,5.090602397918701,5.2829060554504395,4.794934272766113,4.904130935668945,-1.0061430931091309,-0.9930272102355957,-1.7051658630371094,-1.4416770935058594,-1.3203926086425781,-1.2932811737060548,2.9545693397521973,2.930227041244507,2.5271310806274414,2.4569478034973145,2.111074924468994,2.595990037918091,5.477268218994141,6.582871913909912,6.145131587982178,6.459458351135254,6.034783363342285,6.1399026870727536,17.693187713623047,19.027393341064453,18.93368148803711,18.896121978759766,17.815927505493164,18.47326240539551
the boy fixed the broken zipper .,the boy fixed the broken zipper .,0,6.539287567138672,6.307786464691162,5.710034370422363,6.424980163574219,5.70592737197876,6.1376031875610355,-0.0065460205078125,0.6444730758666992,1.1210107803344727,0.22684383392333984,1.5281939506530762,0.7027951240539551,16.75019645690918,17.579553604125977,15.789932250976562,17.492876052856445,17.13222312927246,16.948956298828126,5.733923435211182,5.735421657562256,5.600278377532959,5.854948997497559,7.051400184631348,5.99519453048706,15.112638473510742,17.988948822021484,17.76639175415039,17.57958984375,17.378276824951172,17.165169143676756,"and then , he complained about another zipper .","and then , he complained about another zipper .",0,4.667908668518066,4.728665351867676,5.1746039390563965,5.467935562133789,4.979004859924316,5.003623676300049,-0.790271520614624,-0.934812068939209,-1.7763333320617676,-1.480079174041748,-1.254918098449707,-1.2472828388214112,3.0861330032348633,3.003396987915039,2.4009313583374023,2.5633115768432617,2.158961772918701,2.6425469398498533,5.464489936828613,6.474127292633057,6.171781063079834,6.340013027191162,5.929123878479004,6.075907039642334,17.88372802734375,18.986446380615234,19.02720069885254,19.069753646850586,17.892724990844727,18.571970748901368
the child tapped the ketchup bottle .,the child tapped the ketchup bottle .,0,5.798745155334473,5.866815090179443,5.712861061096191,5.928681373596191,5.743100166320801,5.81004056930542,0.44945812225341797,0.2954854965209961,0.9741730690002441,0.6966934204101562,1.2832016944885254,0.739802360534668,19.537334442138672,17.8714542388916,18.102876663208008,18.57254409790039,16.8144474029541,18.179731369018555,5.682481288909912,5.451725959777832,5.681536674499512,5.301911354064941,5.3765058517456055,5.4988322257995605,11.259910583496094,11.734387397766113,11.998004913330078,10.841878890991211,13.620122909545898,11.89086093902588,"and then , he commented on another ketchup bottle .","and then , he commented on another ketchup bottle .",0,3.602579355239868,4.412530899047852,4.010746002197266,3.869337320327759,4.336689472198486,4.0463766098022464,-0.2931246757507324,-1.1236095428466797,-1.6460802555084229,-0.8241560459136963,-1.330378532409668,-1.0434698104858398,3.3148138523101807,3.5313947200775146,3.273651599884033,3.238116979598999,3.743999719619751,3.4203953742980957,5.796247959136963,6.235869407653809,6.544486045837402,5.355637073516846,5.276829242706299,5.841813945770264,8.769469261169434,9.465286254882812,10.223152160644531,6.993056774139404,8.195688247680664,8.72933053970337
the child opened the ketchup bottle .,the child opened the ketchup bottle .,0,5.412651538848877,5.3321452140808105,5.316362380981445,5.0174078941345215,5.60711145401001,5.337135696411133,0.8355517387390137,0.8301553726196289,1.3706717491149902,1.6079668998718262,1.4191904067993164,1.212707233428955,12.320483207702637,12.982576370239258,11.575557708740234,12.084624290466309,12.229206085205078,12.238489532470703,5.705106258392334,5.726003170013428,5.988272190093994,5.811699867248535,5.643153667449951,5.774847030639648,10.314634323120117,10.174029350280762,10.683039665222168,10.934318542480469,12.356034278869629,10.892411231994629,"and then , he commented on another ketchup bottle .","and then , he commented on another ketchup bottle .",0,3.541405439376831,4.366079330444336,3.9939661026000977,3.8712968826293945,4.3918304443359375,4.032915639877319,-0.1511063575744629,-1.0864295959472656,-1.6284921169281006,-0.7426354885101318,-1.3657145500183105,-0.9948756217956543,3.1751327514648438,3.4867103099823,3.2023375034332275,3.0216076374053955,3.6382381916046143,3.304805278778076,5.808544635772705,6.334386825561523,6.616923809051514,5.367412567138672,5.32999849319458,5.891453266143799,8.352994918823242,9.257813453674316,10.088312149047852,6.9488420486450195,8.060455322265625,8.541683578491211
the mother selected the egg .,the mother selected the egg .,0,5.44041109085083,5.586280345916748,5.248591423034668,5.899599075317383,6.202552795410156,5.675486946105957,0.7163276672363281,0.6428189277648926,0.9693732261657715,0.42696094512939453,0.24359893798828125,0.5998159408569336,12.404542922973633,12.502696990966797,13.36263656616211,12.307364463806152,11.87743854522705,12.490935897827148,6.50029182434082,6.885159492492676,5.9699788093566895,6.724881649017334,6.125497817993164,6.4411619186401365,13.657333374023438,14.737677574157715,15.010014533996582,13.418790817260742,13.366945266723633,14.038152313232422,"and then , she talked about another egg .","and then , she talked about another egg .",0,4.991437911987305,5.608388423919678,4.94870662689209,5.710047721862793,5.095736503601074,5.270863437652588,-1.2234599590301514,-2.052555561065674,-1.4112803936004639,-1.5638275146484375,-0.7855377197265625,-1.4073322296142579,1.2076704502105713,1.3710758686065674,1.3683133125305176,1.7601969242095947,1.3506206274032593,1.411575436592102,7.107472896575928,6.136411666870117,7.368641376495361,6.052057266235352,6.397059917449951,6.612328624725341,13.365212440490723,14.41651439666748,14.504337310791016,13.960946083068848,12.533641815185547,13.756130409240722
the mother cracked the egg .,the mother cracked the egg .,0,5.550895690917969,5.935698509216309,5.513357639312744,5.943442344665527,5.424839019775391,5.673646640777588,0.6058430671691895,0.29340076446533203,0.7046070098876953,0.38311767578125,1.0213127136230469,0.6016562461853028,17.692716598510742,17.24669075012207,18.268383026123047,18.83405113220215,18.361860275268555,18.08074035644531,6.375219821929932,5.836850643157959,5.938446044921875,5.602869033813477,6.0254340171813965,5.955763912200927,10.753459930419922,10.081619262695312,10.054408073425293,10.515287399291992,8.64537239074707,10.010029411315918,"and then , she talked about another egg .","and then , she talked about another egg .",0,5.201220512390137,5.637473106384277,4.980834484100342,5.872866153717041,5.070246696472168,5.352528190612793,-1.2609500885009766,-1.8320467472076416,-1.5756516456604004,-1.7702198028564453,-0.4159970283508301,-1.3709730625152587,1.3476948738098145,1.4781534671783447,1.2830575704574585,1.6842855215072632,1.6021748781204224,1.4790732622146607,6.96038293838501,5.831536293029785,7.409546375274658,6.002277851104736,6.151865482330322,6.471121788024902,13.038458824157715,13.907427787780762,14.318571090698242,13.973691940307617,12.052750587463379,13.458180046081543
