SENT1,UNK_SENT1,hasUNK1,VERB1_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,VERB1_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,VERB1_ENTROPY_AVG,VERB1_REDUCTION_LSTM_400_80m_a_10-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_b_11-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_c_12-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_d_13-d0.2.pt,VERB1_REDUCTION_LSTM_400_80m_e_14-d0.2.pt,VERB1_REDUCTION_AVG,VERB1_SURP_LSTM_400_80m_a_10-d0.2.pt,VERB1_SURP_LSTM_400_80m_b_11-d0.2.pt,VERB1_SURP_LSTM_400_80m_c_12-d0.2.pt,VERB1_SURP_LSTM_400_80m_d_13-d0.2.pt,VERB1_SURP_LSTM_400_80m_e_14-d0.2.pt,VERB1_SURP_AVG,NOUN1_SURP_LSTM_400_80m_a_10-d0.2.pt,NOUN1_SURP_LSTM_400_80m_b_11-d0.2.pt,NOUN1_SURP_LSTM_400_80m_c_12-d0.2.pt,NOUN1_SURP_LSTM_400_80m_d_13-d0.2.pt,NOUN1_SURP_LSTM_400_80m_e_14-d0.2.pt,NOUN1_SURP_AVG,SENT2,UNK_SENT2,hasUNK2,VERB2_ENTROPY_LSTM_400_80m_a_10-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_b_11-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_c_12-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_d_13-d0.2.pt,VERB2_ENTROPY_LSTM_400_80m_e_14-d0.2.pt,VERB2_ENTROPY_AVG,VERB2_REDUCTION_LSTM_400_80m_a_10-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_b_11-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_c_12-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_d_13-d0.2.pt,VERB2_REDUCTION_LSTM_400_80m_e_14-d0.2.pt,VERB2_REDUCTION_AVG,VERB2_SURP_LSTM_400_80m_a_10-d0.2.pt,VERB2_SURP_LSTM_400_80m_b_11-d0.2.pt,VERB2_SURP_LSTM_400_80m_c_12-d0.2.pt,VERB2_SURP_LSTM_400_80m_d_13-d0.2.pt,VERB2_SURP_LSTM_400_80m_e_14-d0.2.pt,VERB2_SURP_AVG,NOUN2_SURP_LSTM_400_80m_a_10-d0.2.pt,NOUN2_SURP_LSTM_400_80m_b_11-d0.2.pt,NOUN2_SURP_LSTM_400_80m_c_12-d0.2.pt,NOUN2_SURP_LSTM_400_80m_d_13-d0.2.pt,NOUN2_SURP_LSTM_400_80m_e_14-d0.2.pt,NOUN2_SURP_AVG
the girl will adopt the dog .,the girl will adopt the dog .,0,4.964379787445068,5.1331377029418945,4.9620184898376465,4.904238700866699,5.571452617645264,5.107045459747314,2.265537738800049,2.1565098762512207,1.94110107421875,2.3806052207946777,2.321870803833008,2.213124942779541,11.744908332824707,11.815534591674805,11.62706470489502,11.132716178894043,10.908048629760742,11.445654487609863,11.740031242370605,12.3257474899292,11.259089469909668,11.513261795043945,11.774564743041992,11.722538948059082,the girl will consider the dog .,the girl will consider the dog .,0,6.136650562286377,6.705209255218506,6.089885711669922,5.673215389251709,7.572927951812744,6.435577774047852,1.0932669639587402,0.5844383239746094,0.8132338523864746,1.611628532409668,0.32039546966552734,0.8845926284790039,10.549184799194336,11.144163131713867,10.300629615783691,10.192516326904297,10.99947738647461,10.63719425201416,10.490864753723145,11.424174308776855,11.01778793334961,10.84577465057373,10.472963333129883,10.850312995910645
the girl will arrest the thief .,the girl will arrest the thief .,0,5.146738529205322,5.775187969207764,4.695724964141846,5.212021350860596,5.844421863555908,5.334818935394287,2.083178997039795,1.5144596099853516,2.207394599914551,2.0728225708007812,2.0489015579223633,1.9853514671325683,12.882804870605469,13.3064603805542,13.97862434387207,13.911091804504395,12.794419288635254,13.374680137634277,10.243769645690918,9.542539596557617,10.746447563171387,10.083222389221191,10.582303047180176,10.239656448364258,the girl will search the thief .,the girl will search the thief .,0,3.817131996154785,3.0957326889038086,3.2817180156707764,2.7386293411254883,3.671760082244873,3.320994424819946,3.412785530090332,4.193914890289307,3.62140154838562,4.546214580535889,4.221563339233398,3.9991759777069094,11.438969612121582,12.937224388122559,11.948586463928223,11.723260879516602,11.154143333435059,11.840436935424805,12.9786958694458,13.591358184814453,11.492273330688477,14.298985481262207,12.720633506774902,13.016389274597168
the girl will bake the cake .,the girl will bake the cake .,0,6.118200302124023,6.2159552574157715,6.6270976066589355,6.067546844482422,6.591830253601074,6.324126052856445,1.1117172241210938,1.0736923217773438,0.27602195739746094,1.217297077178955,1.3014931678771973,0.9960443496704101,15.80910587310791,16.462993621826172,15.726045608520508,16.408279418945312,14.124847412109375,15.706254386901856,11.529794692993164,11.048572540283203,10.223027229309082,10.135268211364746,11.1071138381958,10.8087553024292,the girl will get the cake .,the girl will get the cake .,0,6.921950340270996,7.217243671417236,6.5936279296875,6.747744083404541,7.02266788482666,6.900646781921386,0.3079671859741211,0.0724039077758789,0.3094916343688965,0.5370998382568359,0.8706555366516113,0.41952362060546877,6.808951377868652,6.8846116065979,7.152620792388916,7.083724498748779,6.653134346008301,6.91660852432251,13.161171913146973,12.73453426361084,13.731901168823242,12.289494514465332,12.284467697143555,12.840313911437988
the girl will bathe the baby .,the girl will bathe the baby .,0,4.904025554656982,3.8048365116119385,4.560359477996826,4.849973201751709,5.15120267868042,4.654079484939575,2.3258919715881348,3.4848110675811768,2.3427600860595703,2.434870719909668,2.7421207427978516,2.6660909175872805,14.582541465759277,14.291144371032715,14.958870887756348,14.526891708374023,12.944182395935059,14.260726165771484,8.938517570495605,8.558478355407715,9.763445854187012,10.8006010055542,8.822232246398926,9.376655006408692,the girl will touch the baby .,the girl will touch the baby .,0,5.304401874542236,5.550383567810059,5.354316711425781,5.558414936065674,5.337756156921387,5.421054649353027,1.9255156517028809,1.7392640113830566,1.5488028526306152,1.7264289855957031,2.5555672645568848,1.899115753173828,11.192728996276855,11.345505714416504,11.684972763061523,11.700891494750977,11.43311595916748,11.471442985534669,9.171440124511719,9.340383529663086,9.936062812805176,8.691068649291992,9.531656265258789,9.334122276306152
the girl will bend the pipe .,the girl will bend the pipe .,0,6.121178150177002,6.359036445617676,5.997313022613525,6.23682975769043,6.372448444366455,6.217361164093018,1.1087393760681152,0.9306111335754395,0.9058065414428711,1.0480141639709473,1.5208749771118164,1.102809238433838,14.24606990814209,12.829924583435059,14.35103702545166,13.706866264343262,12.508315086364746,13.528442573547363,13.098618507385254,13.398271560668945,12.314291954040527,12.816929817199707,13.019618034362793,12.929545974731445,the girl will examine the pipe .,the girl will examine the pipe .,0,5.0453104972839355,5.416442394256592,5.253695011138916,5.080277919769287,5.177386283874512,5.194622421264649,2.1846070289611816,1.8732051849365234,1.6494245529174805,2.20456600189209,2.7159371376037598,2.125547981262207,12.890478134155273,13.59295654296875,12.928421974182129,13.164112091064453,13.014448165893555,13.118083381652832,15.73128890991211,15.667213439941406,14.700174331665039,14.765104293823242,14.219093322753906,15.01657485961914
the girl will boil the egg .,the girl will boil the egg .,0,6.119120121002197,6.532687187194824,6.445799827575684,6.263871669769287,6.551360607147217,6.382567882537842,1.11079740524292,0.756960391998291,0.4573197364807129,1.0209722518920898,1.3419628143310547,0.9376025199890137,14.209815979003906,15.070765495300293,14.860490798950195,14.951122283935547,13.93790340423584,14.606019592285156,9.085384368896484,9.379340171813965,7.446855068206787,8.803574562072754,8.252205848693848,8.593472003936768,the girl will break the egg .,the girl will break the egg .,0,5.285396099090576,5.601860523223877,5.218747138977051,5.683680057525635,5.527106761932373,5.4633581161499025,1.944521427154541,1.6877870559692383,1.6843724250793457,1.6011638641357422,2.3662166595458984,1.8568122863769532,9.780749320983887,10.642749786376953,9.278517723083496,9.61522388458252,9.834731101989746,9.83039436340332,9.80001163482666,11.218985557556152,9.636709213256836,10.40123176574707,8.982240676879883,10.00783576965332
the girl will bounce the ball .,the girl will bounce the ball .,0,6.071714878082275,6.555987358093262,5.745844841003418,6.046008110046387,6.134033203125,6.110717678070069,1.1582026481628418,0.7336602210998535,1.1572747230529785,1.2388358116149902,1.7592902183532715,1.2094527244567872,15.008258819580078,14.355984687805176,13.076671600341797,13.89741039276123,13.657270431518555,13.999119186401368,6.550565242767334,5.021191120147705,5.005894660949707,5.838734149932861,4.6927947998046875,5.421835994720459,the girl will throw the ball .,the girl will throw the ball .,0,5.981573581695557,6.359904766082764,5.672806739807129,5.744198799133301,6.034154415130615,5.958527660369873,1.2483439445495605,0.9297428131103516,1.2303128242492676,1.5406451225280762,1.8591690063476562,1.3616427421569823,10.226744651794434,9.889178276062012,10.290936470031738,9.822157859802246,9.611300468444824,9.96806354522705,5.964527606964111,4.453891277313232,4.235903263092041,5.621142864227295,4.5134053230285645,4.957774066925049
the girl will break the glasses .,the girl will break the glasses .,0,5.285396099090576,5.601860523223877,5.218747138977051,5.683680057525635,5.527106761932373,5.4633581161499025,1.944521427154541,1.6877870559692383,1.6843724250793457,1.6011638641357422,2.3662166595458984,1.8568122863769532,9.780749320983887,10.642749786376953,9.278517723083496,9.61522388458252,9.834731101989746,9.83039436340332,13.957395553588867,14.49454402923584,14.768075942993164,13.465055465698242,14.253976821899414,14.187809562683105,the girl will pick up the glasses .,the girl will pick up the glasses .,0,5.465823650360107,5.589687824249268,5.174214839935303,5.3400397300720215,5.591372489929199,5.432227706909179,-2.4945764541625977,-2.1584722995758057,-1.3813352584838867,-1.0948357582092285,-2.564394474029541,-1.938722848892212,0.6907786130905151,0.8714069724082947,0.9659994840621948,1.2419848442077637,0.6605810523033142,0.8861501932144165,14.787307739257812,13.527472496032715,14.513101577758789,13.998551368713379,13.818737030029297,14.129034042358398
the girl will build the blocks .,the girl will build the blocks .,0,4.723194599151611,5.293942928314209,4.460429668426514,4.452672958374023,5.009763717651367,4.788000774383545,2.506722927093506,1.9957046508789062,2.442689895629883,2.8321709632873535,2.8835597038269043,2.5321696281433104,10.05468463897705,9.72783374786377,10.358549118041992,10.454361915588379,9.729935646057129,10.065073013305664,13.055399894714355,13.3226900100708,13.391611099243164,12.399528503417969,13.605752944946289,13.154996490478515,the girl will count the blocks .,the girl will count the blocks .,0,6.419174671173096,6.569725513458252,6.168075084686279,5.929624080657959,6.326708793640137,6.282661628723145,0.8107428550720215,0.7199220657348633,0.7350444793701172,1.355219841003418,1.5666146278381348,1.037508773803711,11.332931518554688,12.471209526062012,12.477593421936035,12.012345314025879,12.982784271240234,12.25537281036377,13.968939781188965,14.7565336227417,14.801523208618164,13.664910316467285,13.021148681640625,14.042611122131348
the girl will burn the clothes .,the girl will burn the clothes .,0,6.032535552978516,6.451624393463135,5.952645778656006,6.104111671447754,6.513565540313721,6.210896587371826,1.1973819732666016,0.8380231857299805,0.9504737854003906,1.180732250213623,1.3797578811645508,1.1092738151550292,11.118904113769531,12.24039363861084,11.85268783569336,12.01598072052002,11.45119857788086,11.735832977294923,10.124068260192871,9.782201766967773,11.022805213928223,11.370705604553223,10.683074951171875,10.596571159362792,the girl will smell the clothes .,the girl will smell the clothes .,0,6.9527177810668945,7.516973495483398,6.680069446563721,6.615234375,6.617452144622803,6.876489448547363,0.27719974517822266,-0.2273259162902832,0.22305011749267578,0.669609546661377,1.2758712768554688,0.4436809539794922,12.810636520385742,13.313824653625488,13.374521255493164,14.658740043640137,13.221719741821289,13.475888442993163,9.229802131652832,8.151215553283691,10.342864990234375,10.578831672668457,9.280728340148926,9.516688537597656
